indice
,region,provincia,grupo_edad,total_personas,unidas_hombres,unidas_mujeres,unidas_total,separadas_hombres,separadas_mujeres,separadas_total,divorciadas_hombres,divorciadas_mujeres,divorciadas_total,viudas_hombres,viudas_mujeres,viudas_total,casadas_hombres,casadas_mujeres,casadas_total,solteras_hombres,solteras_mujeres,solteras_total
,Total Nacional,Nacional,Nacional,"13,594,039","1,232,263","1,220,091","2,452,354","190,241","352,126","542,367","169,221","284,534","453,755","129,771","401,818","531,589","1,836,924","1,862,444","3,699,368","2,985,722","2,928,884","5,914,606"
,Total Nacional,Nacional,De 12-14,"968,042","1,617","3,600","5,217",277,387,664,,,0,37,41,78,,,0,"494,276","467,807","962,083"
,Total Nacional,Nacional,De 15-19,"1,533,824","23,166","67,654","90,820",956,"6,688","7,644",46,64,110,57,250,307,"1,428","3,509","4,937","750,498","679,508","1,430,006"
,Total Nacional,Nacional,De 20-24,"1,495,912","123,324","173,244","296,568","6,367","26,235","32,602",459,"1,343","1,802",187,"1,069","1,256","21,923","44,633","66,556","581,668","515,460","1,097,128"
,Total Nacional,Nacional,De 25-29,"1,347,168","182,992","196,328","379,320","13,147","38,751","51,898","3,366","8,303","11,669",523,"2,478","3,001","83,784","128,950","212,734","359,139","329,407","688,546"
,Total Nacional,Nacional,De 30-34,"1,243,063","184,075","178,838","362,913","17,976","43,431","61,407","10,239","19,812","30,051",939,"4,336","5,275","161,148","199,227","360,375","214,653","208,389","423,042"
,Total Nacional,Nacional,De 35-39,"1,173,922","164,494","155,182","319,676","21,235","45,220","66,455","16,515","29,841","46,356","1,616","6,949","8,565","209,360","231,769","441,129","140,349","151,392","291,741"
,Total Nacional,Nacional,De 40-44,"1,112,429","142,689","130,834","273,523","24,104","43,774","67,878","22,012","37,270","59,282","2,609","10,878","13,487","225,553","238,330","463,883","109,173","125,203","234,376"
,Total Nacional,Nacional,De 45-49,"951,536","111,421","98,413","209,834","21,868","35,652","57,520","22,200","37,838","60,038","3,868","14,686","18,554","211,269","215,905","427,174","81,108","97,308","178,416"
,Total Nacional,Nacional,De 50-54,"860,590","90,382","75,307","165,689","20,808","31,640","52,448","22,890","37,856","60,746","5,791","22,072","27,863","200,720","199,961","400,681","68,367","84,796","153,163"
